,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,tasha_a7,Tasha,15425059,1.28238E+18,/tasha_a7/status/1282383421784956929,7/12/2020 18:36,1594579007,"Do you know any older people currently struggling with loneliness? If they have a spare room, a homeshare could make an amazing difference to their lives. If you know someone in this position, check out @twogenhomeshare - all Covid protocols in place #loneliness #isolation","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Do you know any older people currently struggling with loneliness? If they have a spare room, a homeshare could make an amazing difference to their lives. If you know someone in this position, check out <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1031196194167513088"" dir=""ltr"" href=""/twogenhomeshare""><s>@</s><b>twogenhomeshare</b></a> - all Covid protocols in place <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/isolation?src=hash""><s>#</s><b><strong>isolation</strong></b></a></p>",[],"['loneliness', 'isolation']",FALSE,[],,1,1,0,FALSE,FALSE,,[]
1,tsinclair73,Tony Sinclair,791119051,1.28217E+18,/tsinclair73/status/1282165555038806016,7/12/2020 4:11,1594527064,"Loneliness is just plain horrible. just putting it out there, that some company, chat would be great and needed. #Loneliness #Isolation #singlelife","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Loneliness is just plain horrible. just putting it out there, that some company, chat would be great and needed. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Loneliness?src=hash""><s>#</s><b><strong>Loneliness</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singlelife?src=hash""><s>#</s><b>singlelife</b></a></p>",[],"['Loneliness', 'Isolation', 'singlelife']",FALSE,[],,0,0,0,FALSE,FALSE,,[]
2,tasha_a7,Tasha,15425059,1.28238E+18,/tasha_a7/status/1282383421784956929,7/12/2020 18:36,1594579007,"Do you know any older people currently struggling with loneliness? If they have a spare room, a homeshare could make an amazing difference to their lives. If you know someone in this position, check out @twogenhomeshare - all Covid protocols in place #loneliness #isolation","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Do you know any older people currently struggling with loneliness? If they have a spare room, a homeshare could make an amazing difference to their lives. If you know someone in this position, check out <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1031196194167513088"" dir=""ltr"" href=""/twogenhomeshare""><s>@</s><b>twogenhomeshare</b></a> - all Covid protocols in place <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/isolation?src=hash""><s>#</s><b><strong>isolation</strong></b></a></p>",[],"['loneliness', 'isolation']",FALSE,[],,1,1,0,FALSE,FALSE,,[]
3,tsinclair73,Tony Sinclair,791119051,1.28217E+18,/tsinclair73/status/1282165555038806016,7/12/2020 4:11,1594527064,"Loneliness is just plain horrible. just putting it out there, that some company, chat would be great and needed. #Loneliness #Isolation #singlelife","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Loneliness is just plain horrible. just putting it out there, that some company, chat would be great and needed. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Loneliness?src=hash""><s>#</s><b><strong>Loneliness</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/singlelife?src=hash""><s>#</s><b>singlelife</b></a></p>",[],"['Loneliness', 'Isolation', 'singlelife']",FALSE,[],,0,0,0,FALSE,FALSE,,[]
4,Treasa_corbett,Teresa Corbett,242929815,1.27694E+18,/Treasa_corbett/status/1276941387670454272,6/27/2020 18:12,1593281525,"Just finished a 10 mile run to end #lejog challenge. Raising money for @Brendoncare
 - virtual clubs reducing #Isolation and #loneliness

This seemed impossible a few months ago. 

 🔥A team effort of 811 miles in 30 days.
💕Over £2k raised https://twitter.com/Treasa_corbett/status/1254887351148560384 …pic.twitter.com/E5k2FuDqzh","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just finished a 10 mile run to end <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/lejog?src=hash""><s>#</s><b>lejog</b></a> challenge. Raising money for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""276088867"" dir=""ltr"" href=""/Brendoncare""><s>@</s><b>Brendoncare</b></a>
 - virtual clubs reducing <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a>

This seemed impossible a few months ago. 

 <img alt=""🔥"" aria-label=""Emoji: Fire"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f525.png"" title=""Fire""/>A team effort of 811 miles in 30 days.
<img alt=""💕"" aria-label=""Emoji: Two hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" title=""Two hearts""/>Over £2k raised <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/Treasa_corbett/status/1254887351148560384"" dir=""ltr"" href=""https://t.co/SBI8Ciuw99"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Treasa_corbett/status/1254887351148560384""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Treasa_corbett</span><span class=""invisible"">/status/1254887351148560384</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/E5k2FuDqzh"">pic.twitter.com/E5k2FuDqzh</a></p>",['https://twitter.com/Treasa_corbett/status/1254887351148560384'],"['lejog', 'Isolation', 'loneliness']",TRUE,"['https://pbs.twimg.com/media/EbibUDfWkAAq1_L.jpg', 'https://pbs.twimg.com/media/EbibUD5WsAE8rLy.jpg']",,2,0,1,TRUE,FALSE,,[]
5,kellynleefarrar,Dr Kellyn Lee,1380250351,1.27694E+18,/kellynleefarrar/status/1276937273209245696,6/27/2020 17:55,1593280544,My longest run this year to end #lejog challenge. Raising money for @Brendoncare - virtual clubs reducing #Isolation and #loneliness A team effort of 811 miles in 30 days. You lovely lot have donated over £2k 😍http://uk.virginmoneygiving.com/KellynLee  @JackieLearning @Jaimie_Ellis @Treasa_corbettpic.twitter.com/gt0vRtsLtw,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">My longest run this year to end <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/lejog?src=hash""><s>#</s><b>lejog</b></a> challenge. Raising money for <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""276088867"" dir=""ltr"" href=""/Brendoncare""><s>@</s><b>Brendoncare</b></a> - virtual clubs reducing <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> A team effort of 811 miles in 30 days. You lovely lot have donated over £2k <img alt=""😍"" aria-label=""Emoji: Smiling face with heart-shaped eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60d.png"" title=""Smiling face with heart-shaped eyes""/><a class=""twitter-timeline-link"" data-expanded-url=""http://uk.virginmoneygiving.com/KellynLee"" dir=""ltr"" href=""https://t.co/4mhExCbDLE"" rel=""nofollow noopener"" target=""_blank"" title=""http://uk.virginmoneygiving.com/KellynLee""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">uk.virginmoneygiving.com/KellynLee</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2253707125"" dir=""ltr"" href=""/JackieLearning""><s>@</s><b>JackieLearning</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1545933541"" dir=""ltr"" href=""/Jaimie_Ellis""><s>@</s><b>Jaimie_Ellis</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""242929815"" dir=""ltr"" href=""/Treasa_corbett""><s>@</s><b>Treasa_corbett</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/gt0vRtsLtw"">pic.twitter.com/gt0vRtsLtw</a></p>",['http://uk.virginmoneygiving.com/KellynLee'],"['lejog', 'Isolation', 'loneliness']",TRUE,['https://pbs.twimg.com/media/EbiXrkmWsAIugmh.jpg'],,6,1,0,FALSE,FALSE,,[]
6,vlgba8,Vivien,813280314,1.27693E+18,/vlgba8/status/1276925522233024512,6/27/2020 17:09,1593277743,"#GeriatricCare
#careDOTcoach
DeliverCare to Pts When&Where TheyNeed It
Mitigate #Loneliness/#Isolation/#Falls
http://prweb.com/releases/care_coach_expands_avatar_deployments_to_fight_covid_19_loneliness_epidemic/prweb17014415.htm …
Impv Outcomes frmHospital2Home
https://jmir.org/2019/10/e13440 
#Companionship/#MedReminders
#StayingConnected 24/7
#HealthyAtHome
http://prweb.com/releases/prevent-readmissions/elders-clinical-companion/prweb11623072.htm … https://twitter.com/ActivCare_Coach/status/1275152828793647104 …pic.twitter.com/ZRsIL0J6Nx","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GeriatricCare?src=hash""><s>#</s><b>GeriatricCare</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/careDOTcoach?src=hash""><s>#</s><b>careDOTcoach</b></a>
DeliverCare to Pts When&amp;Where TheyNeed It
Mitigate <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Loneliness?src=hash""><s>#</s><b><strong>Loneliness</strong></b></a>/<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a>/<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Falls?src=hash""><s>#</s><b>Falls</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://prweb.com/releases/care_coach_expands_avatar_deployments_to_fight_covid_19_loneliness_epidemic/prweb17014415.htm"" dir=""ltr"" href=""https://t.co/JDXEWaTecd"" rel=""nofollow noopener"" target=""_blank"" title=""http://prweb.com/releases/care_coach_expands_avatar_deployments_to_fight_covid_19_loneliness_epidemic/prweb17014415.htm""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">prweb.com/releases/care_</span><span class=""invisible"">coach_expands_avatar_deployments_to_fight_covid_19_loneliness_epidemic/prweb17014415.htm</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>
Impv Outcomes frmHospital2Home
<a class=""twitter-timeline-link"" data-expanded-url=""https://jmir.org/2019/10/e13440"" dir=""ltr"" href=""https://t.co/tSNmEjpHn9"" rel=""nofollow noopener"" target=""_blank"" title=""https://jmir.org/2019/10/e13440""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">jmir.org/2019/10/e13440</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Companionship?src=hash""><s>#</s><b>Companionship</b></a>/<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MedReminders?src=hash""><s>#</s><b>MedReminders</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StayingConnected?src=hash""><s>#</s><b>StayingConnected</b></a> 24/7
<span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HealthyAtHome?src=hash""><s>#</s><b>HealthyAtHome</b></a><a dir=""ltr"" href=""/hashtag/HealthyAtHome?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/StayHome_2020/StayHome_2020.png""/></a></span>
<a class=""twitter-timeline-link"" data-expanded-url=""http://prweb.com/releases/prevent-readmissions/elders-clinical-companion/prweb11623072.htm"" dir=""ltr"" href=""https://t.co/SUvCwT0tFU"" rel=""nofollow noopener"" target=""_blank"" title=""http://prweb.com/releases/prevent-readmissions/elders-clinical-companion/prweb11623072.htm""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">prweb.com/releases/preve</span><span class=""invisible"">nt-readmissions/elders-clinical-companion/prweb11623072.htm</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/ActivCare_Coach/status/1275152828793647104"" dir=""ltr"" href=""https://t.co/AEkHkgk19f"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/ActivCare_Coach/status/1275152828793647104""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/ActivCare_Coac</span><span class=""invisible"">h/status/1275152828793647104</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZRsIL0J6Nx"">pic.twitter.com/ZRsIL0J6Nx</a></p>","['http://prweb.com/releases/care_coach_expands_avatar_deployments_to_fight_covid_19_loneliness_epidemic/prweb17014415.htm', 'https://jmir.org/2019/10/e13440', 'http://prweb.com/releases/prevent-readmissions/elders-clinical-companion/prweb11623072.htm', 'https://twitter.com/ActivCare_Coach/status/1275152828793647104']","['GeriatricCare', 'careDOTcoach', 'Loneliness', 'Isolation', 'Falls', 'Companionship', 'MedReminders', 'StayingConnected', 'HealthyAtHome']",TRUE,"['https://pbs.twimg.com/media/EbiM6YAU4AMcJUa.jpg', 'https://pbs.twimg.com/media/EbiM8BIUMAALAO-.jpg', 'https://pbs.twimg.com/media/EbiM-8_UMAAY9Wk.jpg']",,1,0,0,FALSE,FALSE,,[]
7,CohenVeterans,CohenVeteransNetwork,4738398544,1.27689E+18,/CohenVeterans/status/1276894323699826689,6/27/2020 15:05,1593270304,"How are you combating #isolation & #loneliness throughout this pandemic? In a new #CVNPresents video, Dr. Williams (Clinic Director at @cohenmetrocare), explains why you might need a break from video calls & suggests how you can boost your #mentalhealth!https://youtu.be/eYENXx9xDNo ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How are you combating <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/isolation?src=hash""><s>#</s><b><strong>isolation</strong></b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> throughout this pandemic? In a new <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CVNPresents?src=hash""><s>#</s><b>CVNPresents</b></a> video, Dr. Williams (Clinic Director at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""740263292887797761"" dir=""ltr"" href=""/cohenmetrocare""><s>@</s><b>cohenmetrocare</b></a>), explains why you might need a break from video calls &amp; suggests how you can boost your <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mentalhealth?src=hash""><s>#</s><b>mentalhealth</b></a>!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://youtu.be/eYENXx9xDNo"" dir=""ltr"" href=""https://t.co/xOxFAfd6ud"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/eYENXx9xDNo""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/eYENXx9xDNo</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://youtu.be/eYENXx9xDNo'],"['isolation', 'loneliness', 'CVNPresents', 'mentalhealth']",FALSE,[],,1,1,0,FALSE,FALSE,,[]
8,jaimenack,Jaime Nack,59708101,1.27688E+18,/jaimenack/status/1276881089793896448,6/27/2020 14:12,1593267149,The idea of future cities designed for social distancing makes me a bit sad. Society already had a serious issue with #Isolation and #loneliness before #covid.https://twitter.com/wef/status/1276862860468146176 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">The idea of future cities designed for social distancing makes me a bit sad. Society already had a serious issue with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Isolation?src=hash""><s>#</s><b><strong>Isolation</strong></b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> before <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/covid?src=hash""><s>#</s><b>covid</b></a>.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/wef/status/1276862860468146176"" dir=""ltr"" href=""https://t.co/KTSyzXN3Zw"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/wef/status/1276862860468146176""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/wef/status/127</span><span class=""invisible"">6862860468146176</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/wef/status/1276862860468146176'],"['Isolation', 'loneliness', 'covid']",FALSE,[],,0,0,0,FALSE,FALSE,,[]
9,Mad_In_America,Mad In America,458674855,1.27688E+18,/Mad_In_America/status/1276879389473505281,6/27/2020 14:05,1593266744,"How Youth Loneliness in the Pandemic Impacts Mental Health

Researchers suggest #loneliness and social #isolation related to the #COVID19 #pandemic may have lasting effects on youth #mentalhealth. 

#psychtwitter #psychiatryhttps://www.madinamerica.com/2020/06/youth-loneliness-pandemic-impacts-mental-health/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How Youth Loneliness in the Pandemic Impacts Mental Health

Researchers suggest <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/loneliness?src=hash""><s>#</s><b><strong>loneliness</strong></b></a> and social <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/isolation?src=hash""><s>#</s><b><strong>isolation</strong></b></a> related to the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19?src=hash""><s>#</s><b>COVID19</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/pandemic?src=hash""><s>#</s><b>pandemic</b></a> may have lasting effects on youth <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mentalhealth?src=hash""><s>#</s><b>mentalhealth</b></a>. 

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/psychtwitter?src=hash""><s>#</s><b>psychtwitter</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/psychiatry?src=hash""><s>#</s><b>psychiatry</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.madinamerica.com/2020/06/youth-loneliness-pandemic-impacts-mental-health/"" dir=""ltr"" href=""https://t.co/zsSCS1LdJj"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.madinamerica.com/2020/06/youth-loneliness-pandemic-impacts-mental-health/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">madinamerica.com/2020/06/youth-</span><span class=""invisible"">loneliness-pandemic-impacts-mental-health/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.madinamerica.com/2020/06/youth-loneliness-pandemic-impacts-mental-health/'],"['loneliness', 'isolation', 'COVID19', 'pandemic', 'mentalhealth', 'psychtwitter', 'psychiatryhttps']",FALSE,[],,19,10,1,TRUE,FALSE,,[]
